综合,#genre#
CCTV-1,http://58.252.12.164:8000/udp/239.77.1.17:5146
CCTV-1,http://58.252.12.164:8000/udp/239.77.1.144:5146
CCTV-1,http://58.252.12.164:8000/udp/239.77.0.86:5146
CCTV1,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.66.66/PLTV/88888888/224/3221225706/index.m3u8
CCTV-2,http://58.252.12.164:8000/udp/239.77.1.158:5146
CCTV-2,http://58.252.12.164:8000/udp/239.253.43.17:5146
CCTV-3,http://58.252.12.164:8000/udp/239.77.0.169:5146
CCTV-4,http://58.252.12.164:8000/udp/239.77.1.163:5146
CCTV-4,http://58.252.12.164:8000/udp/239.77.1.166:5146
CCTV-4,http://58.252.12.164:8000/udp/239.77.0.78:5146
CCTV-5,http://58.252.12.164:8000/udp/239.77.0.170:5146
CCTV-5+,http://58.252.12.164:8000/udp/239.77.0.87:5146
CCTV-5+,http://58.252.12.164:8000/udp/239.77.1.31:5146
CCTV-5+,http://58.252.12.164:8000/udp/239.77.1.147:5146
CCTV-6,http://58.252.12.164:8000/udp/239.77.0.171:5146
CCTV-7,http://58.252.12.164:8000/udp/239.77.1.159:5146
CCTV-7,http://58.252.12.164:8000/udp/239.77.1.167:5146
CCTV-8,http://58.252.12.164:8000/udp/239.77.0.172:5146
CCTV-9,http://58.252.12.164:8000/udp/239.77.1.160:5146
CCTV-9,http://58.252.12.164:8000/udp/239.77.1.168:5146
CCTV-10,http://58.252.12.164:8000/udp/239.77.1.113:5146
CCTV-10,http://58.252.12.164:8000/udp/239.77.1.169:5146
CCTV-11,http://58.252.12.164:8000/udp/239.77.1.238:5146
CCTV-12,http://58.252.12.164:8000/udp/239.77.1.109:5146
CCTV-12,http://58.252.12.164:8000/udp/239.77.1.170:5146
CCTV-13,http://58.252.12.164:8000/udp/239.77.0.188:5146
CCTV-13,http://58.252.12.164:8000/udp/239.253.43.196:5146
CCTV-13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-14,http://58.252.12.164:8000/udp/239.77.1.161:5146
CCTV-14,http://58.252.12.164:8000/udp/239.77.1.171:5146
CCTV-15,http://58.252.12.164:8000/udp/239.77.1.239:5146
CCTV-16,http://58.252.12.164:8000/udp/239.77.0.165:5146
CCTV-16,http://58.252.12.164:8000/udp/239.77.1.76:5146
CCTV-17,http://58.252.12.164:8000/udp/239.77.1.121:5146
CCTV-17,http://58.252.12.164:8000/udp/239.77.0.198:5146
广东卫视,http://58.252.12.164:8000/udp/239.77.1.19:5146
广东卫视,http://58.252.12.164:8000/udp/239.77.1.152:5146
广东卫视,http://58.252.12.164:8000/udp/239.77.0.84:5146
深圳卫视,http://58.252.12.164:8000/udp/239.77.1.3:5146
深圳卫视,http://58.252.12.164:8000/udp/239.77.1.148:5146
深圳卫视,http://58.252.12.164:8000/udp/239.77.0.92:5146
湖南卫视,http://58.252.12.164:8000/udp/239.77.1.5:5146
湖南卫视,http://58.252.12.164:8000/udp/239.77.1.129:5146
湖南卫视,http://58.252.12.164:8000/udp/239.77.0.88:5146
浙江卫视,http://58.252.12.164:8000/udp/239.77.1.33:5146
浙江卫视,http://58.252.12.164:8000/udp/239.77.1.150:5146
浙江卫视,http://58.252.12.164:8000/udp/239.77.0.89:5146
江苏卫视,http://58.252.12.164:8000/udp/239.77.1.18:5146
江苏卫视,http://58.252.12.164:8000/udp/239.77.1.149:5146
江苏卫视,http://58.252.12.164:8000/udp/239.77.0.90:5146
东方卫视,http://58.252.12.164:8000/udp/239.77.1.218:5146
